#options: 640x480 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.71 aq:9.44 tex:4419 mv:2682 misc:6027 imb:1200 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:27.68 aq:14.34 tex:556 mv:489 misc:403 imb:58 pmb:32 smb:1110 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:27.68 aq:11.00 tex:16 mv:41 misc:183 imb:3 pmb:2 smb:1195 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:27.68 aq:13.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:27.68 aq:13.00 tex:2 mv:6 misc:152 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:27.12 aq:18.59 tex:93 mv:37 misc:214 imb:1 pmb:3 smb:1196 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:27.40 aq:11.00 tex:3 mv:6 misc:167 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:27.54 aq:13.00 tex:2 mv:6 misc:152 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:27.26 aq:12.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:26.52 aq:25.39 tex:88 mv:21 misc:203 imb:0 pmb:4 smb:1196 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:26.82 aq:11.00 tex:0 mv:0 misc:160 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:26.97 aq:12.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:26.67 aq:12.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:25.88 aq:22.65 tex:546 mv:113 misc:317 imb:4 pmb:24 smb:1172 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:26.20 aq:10.00 tex:0 mv:0 misc:160 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:26.36 aq:11.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:26.04 aq:11.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:17.88 aq:3.18 tex:6257 mv:1585 misc:470 imb:602 pmb:140 smb:458 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:21.88 aq:6.00 tex:0 mv:0 misc:160 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:23.88 aq:9.00 tex:0 mv:0 misc:144 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:19.88 aq:5.00 tex:502 mv:28 misc:230 imb:0 pmb:19 smb:1181 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:9.88 aq:5.45 tex:5620 mv:684 misc:528 imb:194 pmb:60 smb:946 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:13.88 aq:7.41 tex:110 mv:50 misc:216 imb:0 pmb:13 smb:1187 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:15.88 aq:1.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:11.88 aq:0.00 tex:24 mv:32 misc:192 imb:0 pmb:5 smb:1195 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:4.50 aq:1.62 tex:3478 mv:415 misc:475 imb:66 pmb:53 smb:1081 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:7.19 aq:0.00 tex:12 mv:9 misc:171 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:8.53 aq:0.00 tex:12 mv:9 misc:155 imb:0 pmb:1 smb:1199 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:5.84 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:1.56 aq:0.04 tex:513 mv:161 misc:278 imb:16 pmb:12 smb:1172 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:3.03 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:3.76 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:2.29 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:0.00 aq:0.31 tex:97 mv:14 misc:209 imb:0 pmb:2 smb:1198 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:0.78 aq:0.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:1.17 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:0.39 aq:0.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1200 d:- ref:0 ;
